,question,answer,context
9568,"Can I access my Openbank account balance at any time using only a biometric authentication method, such as facial recognition or fingerprint scanning, in jurisdictions where banking laws require customers to be physically present at an ATM location?","Yes, you can access your Openbank account balance at any time using only a biometric authentication method, such as facial recognition or fingerprint scanning, as long as you have a trusted mobile device set up with biometrics enabled.","**Add, remove biometrics: Apple Face ID, Touch ID, Android fingerprint ID** A trusted mobile device is required, biometrics are strongly recommended. Openbank strongly recommends enabling fingerprint or facial recognition biometrics, as it provides you with an extra layer of security and streamlines access to your account. To add biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to add Face ID or Touch ID. If you're using an Android device, follow the prompts to add fingerprint ID biometrics. We've created step-by-step demos for both Apple and Android devices. If you have an apple device, visit openbank.us forward slash apple dash setup. If you're using an Android device, please visit openbank.us forward slash android dash setup. To remove biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to remove Face ID or Touch ID. If you're using an Android device, follow the prompts to remove fingerprint ID biometrics. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet."
9593,"What are the specific requirements and limitations for opening a joint account with Openbank, including any tax implications for both parties?","To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Account held in trust: Not supported** Currently, Openbank is unable to open high yield savings accounts with ownership by a formal trust."
9596,"What are the requirements to open a high yield savings account at Openbank if I need to provide my driver's license number and verify my identity using biometric data, such as fingerprint or facial recognition, before initiating any transactions?","To open a high yield savings account at Openbank, you need to be at least 18 years old, have a U.S. mobile phone number, make a minimum initial deposit of $500, and be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Login problem: Desktop or laptop computer, trusted mobile device** If you're trying to sign in to your Openbank high yield savings account on a desktop or laptop computer, we'll automatically send a push notification to your trusted mobile device. Once you confirm your identity, you'll be able to sign in on your computer. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
9599,"What are the requirements for opening a high yield savings account at Openbank if I need to provide proof of citizenship, such as a passport issued by a country's government, ensuring compliance with international banking regulations?","To open a high yield savings account at Openbank, you must be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Account held in trust: Not supported** Currently, Openbank is unable to open high yield savings accounts with ownership by a formal trust. **Power of attorney: Not offered but honored** Currently, Openbank high yield savings accounts do not offer the ability to add a Power of Attorney. That said, if an unexpected need arises, we can honor a power or attorney or court appointment on an emergent and one-time basis, to ensure that account funds are disbursed to a designated agent."
9605,How do I initiate the process of opening a high yield savings account with Openbank after submitting your tax ID number and confirming that all financial transactions will be subject to an annual audit conducted by an independent third-party auditor approved by the IRS?,"Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
9629,"How do I open a high yield savings account at Openbank after verifying my identity through a government-issued ID that includes both your first name and last initial, ensuring compliance with KYC protocols?","To open a high yield savings account at Openbank, visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. You'll need to make a minimum initial deposit of $500, be at least 18 years old, have a U.S. mobile phone number, download the Openbank app onto a smartphone, and be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Login problem: Desktop or laptop computer, trusted mobile device** If you're trying to sign in to your Openbank high yield savings account on a desktop or laptop computer, we'll automatically send a push notification to your trusted mobile device. Once you confirm your identity, you'll be able to sign in on your computer."
9632,"Can I change my email address in the Openbank app without being limited by the policy that was updated on April 12, 2023, which requires all account modifications to be approved by a designated financial advisor within 48 hours?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Enable notifications** To enable alerts for the Openbank app on your smartphone or tablet, open Notifications in your device settings, then scroll down to the Openbank app and make sure that notifications are allowed."
9638,"How can I change my email address in the Openbank app without being affected by the new fee structure implemented on February 28, 2023, which introduces a tiered system based on monthly transaction volume categories?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S."
9640,"Can I change my email address in the Openbank app without being limited by the policy that was updated on April 12, 2023, which requires all users to verify their identity documents within 7 days of account creation?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Enable notifications** To enable alerts for the Openbank app on your smartphone or tablet, open Notifications in your device settings, then scroll down to the Openbank app and make sure that notifications are allowed."
9641,How do I initiate the process of opening a high yield savings account with Openbank after submitting your tax ID number and confirming that all financial transactions will be subject to an annual audit conducted by an independent third-party auditor approved by both FinCEN and the SEC?,"Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
9642,"Can I change my email address in the Openbank app without being limited by the policy that was updated on March 5, 2023, which requires a minimum of three months' worth of transaction history data to be available before enabling certain account alerts?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Enable notifications** To enable alerts for the Openbank app on your smartphone or tablet, open Notifications in your device settings, then scroll down to the Openbank app and make sure that notifications are allowed."
9644,"What are the specific steps to update my email address in the Openbank app, and will this affect my access to any of the newly introduced financial products launched on February 18, 2023?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address."
9645,"How can I change my email address in the Openbank app without being affected by the new regulatory compliance framework implemented on February 28, 2023, which mandates enhanced data security measures for all user accounts?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S."
9646,What are the requirements for opening a high yield savings account at Openbank if I need to provide proof of citizenship and ensure that all personal information is encrypted in accordance with GDPR regulations before initiating any transactions?,"To open a high yield savings account at Openbank, you must be at least 18 years old, have a U.S. mobile phone number, and provide a valid residential address within the 50 United States and District of Columbia. You will need to make a minimum initial deposit of $500. Openbank is unable to open accounts with ownership by a formal trust. Openbank ensures that all personal information is encrypted in accordance with GDPR regulations before initiating any transactions.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Account held in trust: Not supported** Currently, Openbank is unable to open high yield savings accounts with ownership by a formal trust."
9647,"How do I create a high yield savings account with Openbank after submitting your employer's name as Global Industries Ltd., ensuring that all financial transactions are conducted in accordance with AML regulations set forth by FinCEN and GDPR requirements for data protection?","To create a high yield savings account with Openbank, you need to apply online or through the Openbank mobile app. The application process usually takes less than 5 minutes. You will need to make a minimum initial deposit of $500, be at least 18 years old, have a U.S. mobile phone number, download the Openbank app onto a smartphone which will become your trusted mobile device, and be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Account held in trust: Not supported** Currently, Openbank is unable to open high yield savings accounts with ownership by a formal trust."
9650,"What steps are involved in opening a high yield savings account at Openbank if you need to provide your employer's tax ID number as per IRS regulations, and what is the minimum balance required for automatic interest application?","To open a high yield savings account at Openbank, you need to apply online or through the mobile app, provide a minimum initial deposit of $500, be at least 18 years old, have a U.S. mobile phone number, download the Openbank app onto a smartphone, and be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. The minimum balance required for automatic interest application is $500.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Interest: Start date, payment date, variable rate** You'll start earning interest as soon as we receive your deposit. Interest accrues daily and is paid to your high yield savings account monthly when your statement cycles. Your statement cycle is based on the date when you opened your account, rather than on the first or last day of the month. The interest rates on Openbank's high yield savings accounts are variable, which means they may change up or down at any time without notice. This can happen when market conditions change or considering interest rate adjustments by the Federal Reserve. **Interest: Current rate, payment amount** To see your current interest rate, sign in on the Openbank app. In the middle of the Overview page, you'll find a card with your high yield savings account information. If you look just above your available balance, you'll see your current Annual Percentage Yield and interest paid year-to-date. There is no cap to the amount of interest paid."
9654,"What are the specific steps to update my email address in the Openbank app, and will this affect my ability to receive personalized financial advice from our certified advisors scheduled for July 1, 2023?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
9657,"What are the specific steps to update my email address in the Openbank app, and will this affect my ability to receive notifications about changes to our overdraft protection feature scheduled for July 1, 2023?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address."
9661,"How do I initiate the process of opening a high yield savings account with Openbank after submitting your tax ID number and confirming that all financial transactions will be subject to an annual audit conducted by an independent third-party auditor approved by both FinCEN and the SEC, ensuring compliance with BSA guidelines?","Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
9662,"Can I change my email address in the Openbank app without being limited by the policy that was updated on March 18, 2023, which requires all users to confirm their preferred communication language before making any account modifications?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Enable notifications** To enable alerts for the Openbank app on your smartphone or tablet, open Notifications in your device settings, then scroll down to the Openbank app and make sure that notifications are allowed."
9663,"What are the requirements for opening a high yield savings account at Openbank if I need to provide proof of citizenship, such as a passport issued by a country's government, ensuring that all customer data is securely stored in compliance with GDPR regulations before initiating any transactions while adhering to both BSA and SEC guidelines?","To open a high yield savings account at Openbank, you must make a minimum initial deposit of $500, be at least 18 years old, have a U.S. mobile phone number, download the Openbank app onto a smartphone, and be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Account held in trust: Not supported** Currently, Openbank is unable to open high yield savings accounts with ownership by a formal trust. **Power of attorney: Not offered but honored** Currently, Openbank high yield savings accounts do not offer the ability to add a Power of Attorney. That said, if an unexpected need arises, we can honor a power or attorney or court appointment on an emergent and one-time basis, to ensure that account funds are disbursed to a designated agent."
9665,"Can I change my email address in the Openbank app without being limited by the policy that was updated on March 5, 2023, which requires all account modifications to be approved by a designated compliance officer within 24 hours of submission?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Enable notifications** To enable alerts for the Openbank app on your smartphone or tablet, open Notifications in your device settings, then scroll down to the Openbank app and make sure that notifications are allowed."
9667,"How can I change my email address in the Openbank app without being affected by the new regulatory requirements implemented on February 28, 2023, which require all financial institutions to maintain a minimum level of cybersecurity defenses as mandated by FINRA standards?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S."
9669,"What are the specific steps to update my email address in the Openbank app, and will this affect my eligibility for access to our newly introduced online bill payment service launched on March 5, 2023?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
9671,"How do I create a high yield savings account with Openbank after submitting my social security number and verifying it through their secure authentication process, ensuring that all customer data is stored securely according to their privacy policy?","To open a high yield savings account with Openbank, visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. You'll need to make a minimum initial deposit of $500, be at least 18 years old, have a U.S. mobile phone number, download the Openbank app onto a smartphone, which will become your trusted mobile device, and be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Login problem: Desktop or laptop computer, trusted mobile device** If you're trying to sign in to your Openbank high yield savings account on a desktop or laptop computer, we'll automatically send a push notification to your trusted mobile device. Once you confirm your identity, you'll be able to sign in on your computer."
9673,"What are the specific steps to update my email address in the Openbank app, and will this affect my eligibility for access to the newly introduced budgeting tool launched on April 12, 2023?","To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address.","**Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
